term_id,term,term_url,ar,cs,de,en,fi,fr,it,ja,ko,no,pl,pt,sv,zh
741-01-01,"address, <endpoint>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=741-01-01,"عنوان, <نقطة النهاية>","adresa, <koncový bod>","Adresse, <Endpunkt> f","address, <endpoint>",osoite,"adresse, <interfaceur> f","indirizzo, <terminale>","アドレス, ＜エンドポイント＞","주소, <끝점>","adresse, <endepunkt>","adres, m","endereço, <terminal>","adress, <ändpunkt> nadress, <nätverks-ansluten komponent> nadress, <slutpunkt> n","地址, <端点>"
741-01-02,application,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=741-01-02,تطبيق,aplikace,"Applikation, fAnwendung, fApp, f",application,sovellus,"application, f",applicazione,アプリケーション,응용프로그램,applikasjon,"aplikacja, f",aplicação,"applikation, ntillämpning, n",应用
741-01-03,"architecture, <system>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=741-01-03,"مخطط, <نظام>هيكل تنظيمي","architektura, <systém>","Architektur, <System> f","architecture, <system>",arkkitehtuuri,"architecture, <système> f","architettura, <sistema>","アーキテクチャ, ＜システム＞","아키텍처, <시스템>","arkitektur, <system>","architektura, <systemu> m","arquitetura, <sistema>","arkitektur, <system> nstruktur, <system> n","架构, <系统>"
741-01-04,asset,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=741-01-04,أصل,aktivum,"Asset, n",asset,resurssi,"actif, m",asset,資産アセット,자산,ressurs,"zasób, m",ativo,"tillgång, n",资产
741-01-05,"availability, <Internet of Things>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=741-01-05,"الإتاحية, <الأشياء المتعلقة بشبكة الإنترنت>","dostupnost, <Internet věcí>","Verfügbarkeit, <Internet der Dinge> f","availability, <Internet of Things>",saatavuus,"disponibilité, <Internet des Objets> f","disponibilità, <Internet delle Cose>","可用性, ＜IoT＞","가용성, <사물인터넷>","tilgjengelighet, <Internett av ting>","dostępność, <internetu rzeczy> f","disponibilidade, <Internet das Coisas>","tillgänglighet, <Sakernas internet> n","可用性, <物联网>"
741-01-06,characteristic,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=741-01-06,خاصيةميزة,charakteristika,"Merkmal, n",characteristic,ominaisuus,"caractéristique, f",caratteristica,特性,특성,karakteristisk,"charakterystyka, f",característica,"karaktäristik, negenskap, nkännetecken, t",特性
741-01-07,cloud computing,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=741-01-07,حوسبة سحابية,cloud computing,"Cloud-Computing, n",cloud computing,pilvilaskenta,"informatique en nuage, f",calcolo su cloud,クラウドコンピューティング,클라우드 컴퓨팅,cloud computing,"przetwarzanie w chmurze, n plobliczenia w chmurze, n pl",computação em nuvem,"molnbaserad databehandling, nmolnbaserad data-användning, n",云计算
741-01-08,cloud service,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=741-01-08,خدمة سحابية,cloudové služby,"Cloud-Dienst, m",cloud service,pilvipalvelu,"service informatique en nuage, m",servizio su cloud,クラウドサービス,클라우드 서비스,skytjeneste,"usługa w chmurze, f",serviço em nuvem,"molntjänst, n",云服务
741-01-09,cloud service provider,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=741-01-09,مقدم خدمة سحابيةمزود خدمة سحابية,poskytovatel cloudových služeb,"Cloud-Dienstanbieter, m",cloud service provider,pilvipalvelun tarjoaja,"fournisseur de service informatique en nuage, m",fornitore di servizio su cloud,クラウドサービスプロバイダー,클라우드 서비스 제공자,leverandør av skytjenester,"dostawca usług w chmurze, m",fornecedor de serviço em nuvem,"molntjänst- leverantör, n",云服务供应方
741-01-10,compliance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=741-01-10,مطابقة,soulad,"Compliance, f",compliance,vaatimustenmukaisuus,"conformité, f",conformità,遵守,준수,samsvar,"zgodność, fspełnienie, n",conformidade,"efterlevnad, nkravuppfyllnad, nföljsamhet, n",依从性
