term_id,term,term_url,ar,cs,de,en,es,fr,it,ja,ko,nl,pl,pt,sr,sv,zh
103-01-01,function,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-01-01,دالة,funkce,"Funktion, fOperation, <Mathematik> f",function,Función,"fonction, f",funzione,"関数演算, <数学>",함수,"functie, f","funkcja, f",funçãooperação,"функција, ж јд",funktion,函数
103-01-02,functional,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-01-02,دالى,funkcionál,"Funktional, n",functional,funcional,"fonctionnelle, f",funzionale,汎関数,범함수,"functionaal, m",funkcjonał,funcional,"функционал, м јд",funktional,泛函
103-01-03,distribution,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-01-03,توزيعدالة تعميمية,distribucezobecněná funkce,"Distribution, fverallgemeinerte Funktion, f",distributiongeneralized function,distribución,"distribution, ffonction généralisée, f",distribuzionefunzione generalizzata,分布一般関数,분포,"distributie, f",dystrybucjafunkcja uogólniona,distribuiçãofunção generalizada,"дистрибуција, ж јдгенерализована функција, ж јд",distributiongeneraliserad funktion,分布广义函数
103-01-04,transformation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-01-04,تحويل,transformace,"Transformation, f",transformation,transformación,"transformation, f",trasformazione,変換,변환,"transformatie, f",transformacja,transformação,"трансформација, ж јд",transformation,变换
103-01-05,variable,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-01-05,متغير,proměnná,"Variable, fVeränderliche, f",variable,Variable,"variable, f",variabile,変数,변수,"variabele, f",zmienna,variável,"променљива, ж јд",variabel,变量
103-01-06,function of n variables,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-01-06,متغيرات n دالة فى,funkce n proměnných,"Funktion von n Variablen, fFunktion mehrerer Veränderlicher, f",function of n variables,función de n variables,"fonction de n variables, f",funzione di n variabili,n変数の関数,n 변수함수,"functie van n variabelen, f",funkcja n zmiennych,função de n variáveis,"функција са n променљивих, ж јд",funktion av n variabler,n个自变量的函数
103-01-07,functional relation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-01-07,العلاقة الدالية,funkcionální relace,"funktionale Beziehung, f",functional relation,relación funcional,"relation fonctionnelle, f",relazione funzionale,関数関係,함수 관계,"functionele relatie, f",zależność funkcjonalna,relação funcional,"функционална релација, ж јд",funktional relation,函数关系
103-01-08,inner product,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-01-08,الضرب الداخلى,vnitřní součin,"inneres Produkt, n",inner product,producto interno,"produit interne, m",prodotto interno,内積,내적,"inproduct, n",iloczyn wewnętrzny,produto interno,"унутрашњи производ, м јд",inre produkt,内积
103-01-09,weighted inner product,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-01-09,الضرب الداخلى لمتجهات موزونة,vážený vnitřní součin,"gewichtetes inneres Produkt, n",weighted inner product,producto interno ponderado,"produit interne pondéré, m",prodotto pesato interno,加重内積,가중 내적,"gewogen inproduct, n",iloczyn wewnętrzny ważony,produto interno ponderado,"пондерисани унутрашњи производ, м јд",vägd inre produkt,加权内积
103-01-10,"orthogonal, adj",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-01-10,متعامد,ortogonální,"orthogonal, Adjektiv","orthogonal, adj",ortogonal,"orthogonal, adj",ortogonale,"直交, 形容詞","직교, 형용사","orthogonaal, adj",ortogonalny,"ortogonal, adj","ортогонална, придев",ortogonal,"正交的, <相关条目：103-07-10>"
103-01-11,system of orthogonal functions,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-01-11,مجموعة الدوال المتعامدةنظام متعامد,systém ortogonálních funkcíortogonální systém,"System orthogonaler Funktionen, nOrthogonalsystem, n",system of orthogonal functionsorthogonal system,sistema de funciones ortogonales,"système de fonctions orthogonales, m",sistema di funzioni ortogonalisistema ortogonale,直交関数系直交系,직교 함수 계,"systeem van orthogonale functies, n",układ funkcji ortogonalnychukład ortogonalny,sistema de funcionais ortogonaissistema ortogonal,"систем ортогоналних функција, м јдортогонални систем, м јд",system av ortogonala funktionerortogonalsystem,正交函数系正交系
103-01-12,interval,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-01-12,فترة,interval,"Intervall, n",interval,Intervalo,"intervalle, m",intervallo,区間,구간,"interval, n",przedziałinterwał (stosowany w akustyce),intervalo,"интервал, м јд",intervall,区间
103-01-13,end-point,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-01-13,نقطة طرفية,koncový bod,"Endpunkt, m",end-point,Extremo,"extrémité, f",estremo,端点,종단점,"eindpunt, n",kraniec przedziału (dolny lub górny),extremidade,"крајња тачка, ж јд",ändpunkt,端点
103-01-14,range,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-01-14,المدى,rozsah,"Bereich, m",range,…,"étendue, f",escursione,範囲レンジ,범위,"bereik, n",szerokość przedziałudługość przedziału (dla zmiennej przestrzennej)czas trwania przedziału (dla zmiennej czasowej),gama,"подручје, с јд",intervallängd,范围
103-02-01,mean value,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-02-01,القيمة المتوسطةالوسطالوسط الحسابىالمتوسط,střední hodnotaaritmetická střední hodnotaprůměraritmetický průměr,"Mittelwert, marithmetischer Mittelwert, m",mean valuemeanarithmetic meanaveragearithmetic average,valor medio,"valeur moyenne, fmoyenne, fvaleur moyenne arithmétique, fmoyenne arithmétique",valore mediomediamedia aritmetica,平均値平均相加平均平均算術平均,평균값,"gemiddelde waarde, f","średnia arytmetyczna, fwartość średnia, fśrednia, f",valor médiomédiavalor médio aritméticomédia aritmética,"средња вредност, ж јдаритметичка средина, м јдпросек, м јдаритметички просек, м јд",artimetiskt medelvärdemedelvärde,平均值平均算术平均值
103-02-02,root-mean-square value,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-02-02,الوسط التربيعىقيمة الجذر التربيعى لمتوسط المربعات(1),střední kvadratická hodnotaefektivní hodnotaRMS hodnotakvadratická střední hodnota,"quadratischer Mittelwert, m",root-mean-square valueRMS valuequadratic mean,valor medio cuadrático,"valeur moyenne quadratique, fmoyenne quadratique, f",radice della media dei quadrativalore efficacemedia quadratica,二乗平均平方根値RMS値平方平均,"실효값, <관련엔트리: 103-02-03>아르엠에스 값평방평균","RMS waarde, f","średnia kwadratowa, fwartość średnia kwadratowa, f",valor eficazvalor médio quadrático,"ефективна вредност, ж јдrms вредност, ж јдсредња квадратна вредност, ж јд",kvadratiskt medelvärde,"方均根值, <相关条目：IEV 103-02-03>二次均值"
103-02-03,"RMS value, <for a time-dependent quantity>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-02-03,قيمة فعالة أو القيمة المؤثرةقيمة الجذر التربيعى لمتوسط المربعات(2),"RMS hodnota, <pro časově závislou veličinu>střední kvadratická hodnota, <pro časově závislou veličinu>kvadratická střední hodnota, <pro časově závislou veličinu>efektivní hodnota","Effektivwert, m","RMS value, <for a time-dependent quantity>root-mean-square value, <for a time-dependent quantity>effective value",valor eficaz,"valeur efficace, f",radice della media dei quadrativalore efficace,"RMS値, <時間依存量について>二乗平均平方根値, <時間依存量について>二乗平均平方根値",실효값<관련엔트리: 103-02-02>유효값,"effectieve waarde, f","wartość skuteczna, f","valor médio quadrático, <duma grandeza dependente do tempo>média quadrática","ефективна вредност, ж јдrms вредност, ж јдефективна вредност, ж јд",effektivvärde,"方均根值, <相关条目：IEV 103-02-02>有效值"
103-02-04,geometric mean value,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-02-04,قيمة الوسط الهندسىالمتوسط الهندسى,geometrická střední hodnotageometrický průměr,"geometrischer Mittelwert, m",geometric mean valuegeometric average,valor medio geométrico,"valeur moyenne géométrique, fmoyenne géométrique, f",valore medio geometricomedia geometrica,幾何平均値幾何平均,기하 평균값,"meetkundig gemiddelde, n","średnia geometryczna, fwartość średnia geometryczna, f",valor médio geométricomédia geométrica,"геометријска средња вредност, ж јдгеометријски просек, м јд",geometriskt medelvärde,几何平均值
103-02-05,harmonic mean value,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-02-05,القيمة المتوسطة التوافقية ( الهارمونية )المتوسط الهارمونى,harmonická střední hodnotaharmonický průměr,"harmonischer Mittelwert, minverser Mittelwert, m",harmonic mean valueharmonic average,valor medio armónico,"valeur moyenne harmonique, fmoyenne harmonique, f",valore medio armonicomedia armonica,調和平均値調和平均,조화 평균값,"harmonisch gemiddelde, n","średnia harmoniczna, fwartość średnia harmoniczna, f",valor médio harmónicomédia harmónica,"хармонијска средња вредност, ж јдхармонијски просек, м јд",harmoniskt medelvärde,调和平均值
103-03-01,unit step function,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-03-01,دالة الخطوة الواحدةدالة هيفيسايد,jednotkový skokHeavisideova funkce,"Einheitssprungfunktion, fEinheitssprung, mHeaviside-Funktion, f",unit step functionHeaviside function,función escalón unidad,"fonction échelon unité, féchelon unité, mfonction de Heaviside, f",funzione a gradino unitariofunzione di Heaviside,単位階段関数ヘビサイド関数,단위 계단 함수,"Heaviside-functie, fHeaviside-stapfunctie, feenheidsstapfunctie, f",skok jednostkowy Heaviside’afunkcja Heaviside’a,função degrau unitáriofunção de Heaviside,"јединична одскочна функција, ж јдХависајдова функција, ж јд",Heavisides stegfunktionenhetsstegfunktion,单位阶跃函数赫维赛德函数
103-03-02,general unit step function,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-03-02,دالة الخطوة الواحدة العامة,obecná funkce jednotkového skoku,"verallgemeinerte Einheitssprungfunktion, fallgemeiner Einheitssprung, m",general unit step function,escalón unidad generalizado,"échelon unité généralisé, m",funzione a gradino unitario generalizzata,一般単位階段関数,일반 단위 계단 함수,"veralgemeende eenheidsstapfunctie, f",skok jednostkowy uogólnionyskok jednostkowy,função degrau unitário geral,"општа јединична одскочна функција, ж јд",allmän enhetsstegfunktion,一般的单位阶跃函数
103-03-03,unit ramp,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-03-03,..…,jednotková rampa,"Einheitsrampenfunktion, flinearer Anstiegsvorgang, m",unit ramp,rampa unidad,"rampe unité, f",rampa unitaria,単位ランプ,단위 램프,"eenheidsrampfunctie, feenheidstaludfunctie, f",nachylenie jednostkowe,rampa unitária,"јединична успонска функција, ж јд",enhetssluttning,单位斜坡函数
103-03-04,signum,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-03-04,…..,znaménkosignum,"Signumfunktion, fSignum, n",signum,signo,"signum, mfonction signe, f","funzione segno, segno",シグナム,부호 함수,"signum, n",funkcja signumsignum,signum,"сигнум, м јд",signum,正负号函数
103-03-05,Dirac function,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-03-05,دالة ديراكدالة ديراك التركيبيةالنبضة الواحدةقفزة الوحدة,Diracova funkceDiracova delta-funkceδ-funkcejednotkový pulz,"Dirac-Funktion, fDelta-Distribution, fEinheitsstoßfunktion, f","Dirac functionDirac delta functionunit pulseunit impulse, US",distribución de Dirac,"distribution de Dirac, fimpulsion unité, fpercussion unité, f",distribuzione di Diracfunzione delta di Diracimpulso unitario,ディラック関数ディラックのデルタ関数単位パルス単位インパルス,다이락 함수다이락 델타 함수단위 펄스,"Dirac-functie, f",dystrybucja Diracadelta Diracaimpuls jednostkowyfunkcja Diraca (termin niezalecany),função de Diracimpulso unitário,"Диракова функција, ж јдјединична импулсна функција, ж јд",Diracs deltafunktionDiracs funktionenhetspuls,狄拉克函数狄拉克δ 函数单位脉冲函数单位冲激函数
