id,en,ar,d,cat,related
1,test case,1 مسألة اختبار ، 2 مسألة اختبار,"1- مجموعةٌ مكوَّنةٌ من مداخلِ اختبارٍ، وشروطِ تنفيذٍ، ونتائجَ متوقّعةٍ، طوِّرتْ لغرضٍ معيَّن، مثل: تجريب مسار برنامج معيَّن، أو التحقق من استجابة متطلبات محددة.
2- توثيقُ مداخلَ موصِّفةٍ، ونتائجَ متوقّعةٍ، ومجموعةٍ من شروط التنفيذ لاختبار ما.",,
2,instance variable,متغيِّر مُنْتَسَخ,متغيّرٌ مرتبطٌ بِمُنْتسَخٍ من صفٍّ (غرض). إذا كان الصفُّ يُعرِّفُ متغيراً ما، فإن كلَّ مُنْتَسَخٍ من الصفّ له نسختُه الخاصةُ من هذا المتغيّر.,19|24,136|224|234|1255
3,instantiate,يَستنسِخ,يُنشئُ مُنْتسَخاً من الصف.,19|24,136|224|1255
4,instruction,تعليمة,عبارةٌ لها عملٌ في أيِّ لغةٍ حاسوبية ولاسيما في لغة التجميع. تتكوَّن معظمُ البرامج من نوعَين من العبارات: التصريحات declarations والتعليمات.,19,1111|6107
5,instruction mix,تشكيلة تعليمات,تصنيفٌ لأنواعِ التعليمات المتضمَّنة في برنامج، مثل: تعليمات الإسناد، والتعليمات الرياضية (فاصلة عائمة أو أعداد صحيحة)، وتعليمات التحكم، وتعليمات الجدولة. إن معرفةَ تشكيلات التعليمات ذات أهمية كبيرة لمصمِّمي وحدات المعالجة المركزية CPU (لأنها تدلهم على التعليمات الواجب اختزالها للحصول على سرعة عظمى)، ولمصمِّمي مقاييس الأداء (لأنها تسمح لهم بجعل مقاييس الأداء متعلقةً بمهمات حقيقية).,19,
6,integer,1 [عدد] صحيح ؛ 2 [عدد] صحيح,"1- عددٌ موجبٌ أو سالب ""صحيح"" مثل: 37، -50، 80، 486.
2- نوعُ معطياتٍ يمثِّل أعداداً صحيحة. إن الحساباتِ التي لا تتضمّن إلا أعداداً صحيحةً أسرعُ بكثير من الحسابات التي تتضمّن أعداداً ذات فاصلة عائمة، ولذلك فإن الأعدادَ الصحيحةَ مستعملةٌ على نطاقٍ واسعٍ في البرمجة لأغراض العدّ والترقيم. يمكِن أن تكونَ الأعدادُ الصحيحةُ ذاتَ إشارة (موجبة أو سالبة) أو بدون إشارة (موجبة). ويمكِن أن توصَفَ بأنها طويلة أو قصيرة بحسب عدد البايتات المستعمَلة لتخزينها؛ فمجالُ الأعداد الصحيحة القصيرة (من -32,768 وحتى 32,767) أصغرُ من مجال الأعداد الصحيحة الطويلة (من -2,147,483,648 وحتى 2,147,483,647).",7,650
7,integrated software,برمجيات متكاملة,برنامجٌ يَضمُّ عدةَ تطبيقات في حزمة واحدة، مثل: معالجة نصوص، وإدارة قواعد معطيات، ووريقات الجدولة spreadsheet. يتكامل هذا النوعُ من البرمجيات بطريقتين: (1) يمكِن للبرمجية أن تَنقلَ المعطيات من أحد تطبيقاتها إلى آخر، وتساعد بذلك المستخدِمين على تنسيق المهمات، ومرج merge المعلومات المولَّدة من قِبل الأدوات البرمجية المختلفة. (2) يمكِن أن تزوِّد المستخدِمَ بواجهةٍ متساوقة لاختيار الأوامر وإدارة الملفات والتفاعل مع البرامج. وهكذا لا يحتاج المستخدِمُ إلى إتقان عدة برامج، غالباً ما تكون مختلفة بعضها عن بعض. إلا أن التطبيقات في حزمة برمجية متكاملة غير مصمَّمة غالباً لتقدِّم نفس إمكانات التطبيقات المنفصلة، ولا تتضمّن البرمجياتُ المتكاملة بالضرورة جميعَ التطبيقات اللازمة في بيئة معيّنة.,24,
8,intermediate language,لغة وسيطة,لغةٌ حاسوبيةٌ تُستعمَلُ باعتبارها مرحلةً وسيطة بين اللغة المصدرية الأصلية، التي تكون عادةً لغةً عاليةَ المستوى، وبين اللغة الهدف التي تكون عادةً رِمَازَ آلة machine code. بعضُ المصرِّفاتِ compilers العاليةِ المستوى تَستعمِلُ لغةَ التجميع لغةً وسيطة.,19,225|5825
9,internal sort,1 فرز داخلي ؛ 2 فرز داخلي,"1- عمليةُ فرزٍ تجري على ملفاتٍ موسَقَةٍ (كلياً أو بنسبة كبيرة) في الذاكرة، لا في القرص الصلب أثناء الإجرائية. 
2- إجراءُ فرزٍ يولِّد مجموعاتٍ فرعيةً مرتبةً من التسجيلات، تُمرَجُ لاحقاً في قائمة وحيدة.",24,
10,interpret,1 يفسّر؛ 2 يفسِّر,"1- يُترجمُ عبارةً أو تعليمةً إلى صيغةٍ تنفيذية، ثم يُنفِّذها.
2- يُنفِّذ برنامجاً بترجمةِ عبارةٍ واحدة في كلِّ مرة إلى صيغة تنفيذية، وتنفيذها قبل ترجمة العبارة التالية، بدلاً من ترجمة البرنامج كاملاً إلى رِمَاٍز تنفيذيّ executable code قبل تنفيذه على حدة.",19,12
