id,english,arabic,french,uri,description,vt,uatv
146815,Gondwana,غندوانا,Gondwana,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=146815,قارة قديمة كانت تضم الهند واستراليا وجنوب افريقيا واالقطب الجنوبي قبل وجودها بالتوزيع الحالي,True,True
147056,Iceland spar,سبار(ال...) الاسلاندي,spath d'Islande,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=147056,كلسيت شفاف يستعمل في صناعة البصريات,True,True
145361,abandoned,مهجور,abandonné,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145361,,True,True
145362,abandoned chenal,قناة مهجورة,chenal abandonné,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145362,,True,True
145363,abandoned cliff,جُرْف مهجور,falaise abandonnée,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145363,,True,True
145364,abandoned meander,مُنْعَطَف نهري مهجور,méandre abandonné,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145364,,True,True
145365,aber,أبير,aber,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145365,الوادي الذي تغمره مياه البحر,True,True
145366,ablation,تذرية,ablation,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145366,,True,True
145367,ablation area,منطقة تذرية,zone d'ablation,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145367,,True,True
145368,ablation breccia,تذرية البريشة,ablation de brèche,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145368,,True,True
145369,ablation form,هيئة التذرية,forme d'ablation,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145369,,True,True
145370,ablation gradient,مُنْحَدر تذروي,pente d'ablation,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145370,ناتج عن عوامل التذرية,True,True
145371,ablation moraine,تذرية الركام الجليدي,ablation de moraine,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145371,,True,True
145372,ablation rate,نسبة التذرية,rapport d'ablation; proportion d'ablation,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145372,,True,True
145373,ablation till,تذرية الحريث الجليدي,ablation de moraine de fond,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145373,,True,True
145374,aboral margin,حافة قِميِّة,marge aborale,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145374,,True,True
145375,aboral side,جانب قِمِّي,côté aboral,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145375,,True,True
145376,aboral surface,سَطْح قِمِّي,apicale (surface...),http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145376,السطح العلوي المقابل لموقع الفم في القنفذانيات,True,True
145377,aborale pole,قُطْب قِمِّي,pôle aboral,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145377,,True,True
145378,abrasion,سَحْج,abrasion,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145378,تآكل الصخور بفعل الفتات الصخري الذي تحمله العوامل الطبيعية كالريح والماء والجليد,True,True
145379,abrasion (marine......),سحج بحري,abrasion marine,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145379,تآكل الصخور من الارتطام بالمياه المحملة بالفتات الصخري,True,True
145380,abrasion (wind...),سحج ريحي,abrasion éolienne,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145380,تآكل الصخور من الارتطام بالريح المحملة بالفتات الصخري,True,True
145381,abrasion platform,مصطبة السحج,plate-forme d'abrasion,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145381,,True,True
145382,abrasion shore line,سحج خط الشاطئ,abrasion de ligne de rivage,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145382,,True,True
145383,abrasive matter,مادة ساحجة,abrasive (matière...),http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145383,,True,True
145384,absolute,مُطْلًق,absolu,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145384,,True,True
145385,absolute chronology,تقويم زمني مطلق,chronologie absolue,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145385,,True,True
145386,absolute humidity,رطوبة مطلقة,humidité absolue,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145386,,True,True
145387,absorption,امتصاص,absorption,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145387,,True,True
145388,absorption formula,صيغة الامتصاص,formule d'absorption,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145388,,True,True
145389,absorption line,خط الامتصاص,ligne d'absorption,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145389,,True,True
145390,absorptivity,امتصاصيّة,absorptivité,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145390,القدرة على الامتصاص وقد تكون بالنسبة لصخور مع الماء للمعادن مع موجات معينة من الضوء,True,True
145391,abstraction streams,مَجَارٍ تجريدية,courants d'abstraction,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145391,,True,True
145392,abstraction water,مياه تجريدية,eaux d'abstraction,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145392,,True,True
145393,abyssal,عمق سحيق,abyssal,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145393,أعماق البحار فيما يزيد على 1000م,True,True
145394,abyssal cone,مخروط سحيقي,cône abyssal,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145394,,True,True
145395,abyssal gap,فجوة سحيقة,trouée abyssale,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145395,,True,True
145396,abyssal hill,تَلّ سحيقي,colline abyssale,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145396,,True,True
145397,abyssal plain,سهل سحيقي، سهل غوري,plaine abyssale,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145397,,True,True
145398,abyssal theory,نظرية الأعماق السحيقة,théorie abyssale,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145398,,True,True
145399,acaustobiolith (non combustible organic rocks),صخور عضوية غير قابلة للاحتراق,roches organiques incombustibles,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145399,,True,True
145400,accelerated development,تطوير معجَّل,développement accéléré,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145400,مسرّع,True,True
145401,accelerated erosion,حَتٌّ معجَّل,érosion accélérée,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145401,مسرّع,True,True
145402,acceleration,تسارُع,accélération,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145402,نسبة الازدياد المتدرج  في السرعة,True,True
145403,accessory element,عنصر إضافي,élément accessoire,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145403,,True,True
145404,accessory minerals,معادن ثانوية,minéraux accessoires; minéraux subsidiaires,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145404,,True,True
145405,accident of the ground,حادث أرضي,accident de terrain; inégalité de terrain,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145405,,True,True
145406,accreting plates,صفائح متنامية,accroissement des plaques,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145406,,True,True
145407,accretion,تزايُد,accroissement,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145407,الازدياد المتدرج في حجم الجسم بضم مزيد من المادة إليه,True,True
145408,accumulation,تراكُم,accumulation,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145408,,True,True
145409,accumulator,مركِّم,accumulateur,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145409,,True,True
145410,acephalia,لارأسيات(ال...),acéphales,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145410,,True,True
145411,acicular,إبري,aciculaire,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145411,صفة للبلورات المستطيلة في هيئة الإبر,True,True
145412,acid,حَمْض,acide,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145412,ج أحماض,True,True
145413,acidic rock,صخر حمضي,roche acide,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145413,,True,True
145414,acidification,تحميض,acidification,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145414,,True,True
