id,english,arabic,french,uri,description,image_uri_remote,vt,uatv
182869,British candle,شمعة بريطانية,bougie britannique,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=182869,الواحدة الدولية لشدّة الإضاءة,,True,True
182870,British thermal unit BTU,واحدة حرارية بريطانية، بتيو,unité thermale britannique UTB,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=182870,تساوي 252 حريرة عند درجة حرارة 15 درجة مئوية أو 1055 جول,,True,True
182995,D max,كثافة عظمى,D max,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=182995,الكثافة العظمى لصورة سالبة أو موجبة,,True,True
182996,D min,كثافة صغرى,D min,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=182996,الكثافة الصغرى لصورة سالبة أو موجبة,,True,True
182994,D-log E,ك-لغ ت,D log E,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=182994,منحني الكثافة (ك) بدلالة لوغاريتم التعريض (ت) (انظر characteristic curve),,True,True
183051,Dobeson spectrophotometer,مقياس دوبسون للطيف الضوئي,spectro-photomètre de Dobeson,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183051,جهاز كهر ضوئى يستخدم في تحديد كمية الأوزون  في الجو، وذلك بمقارنة الطاقة الشمسية عند طول موجتين طبقيتين في مجال امتصاص الأوزون,,True,True
183113,Fermat's principle,مبدأ فيرما,principe de Fermat,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183113,مبدأ أقصر وقت في مسار الإشعاع الكهرمغنطيسي بين نقطتين,,True,True
183160,Fraunhofer lines,خطوط فرونهوفر,lignes de Fraunhofer,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183160,خطوط سوداء  تظهر في طيف الإشعاع الشمسي، ناتجة عن الامتصاص الحاصل بسبب الظروف الخارجية للشمس وفي الجو,,True,True
183187,G - force,قوَّة -ج,force - G,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183187,قوة عطالة يعبَّر عنها بمضاعفات الجاذبية الأرضية,,True,True
183178,Geiger counter,عدَّاد جايجر,compteur Geiger,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=183178,جهاز يستخدم في الكشف عن مقدار النشاط الإشعاعي في الطبيعة، وذلك بتعداد الجسيمات المؤينة في الهواء مثل جسيمات ألفا,,True,True
