term_id,term,term_url,ar,de,en,es,fr,it,ja,ko,no,pl,pt,sv,zh
131-11-01,"integral quantity, <in electromagnetism>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-11-01,"كمية متكاملة, <في الكهرومغناطيسية>","Integralgröße, <auf dem Gebiet des Elektromagnetismus> f","integral quantity, <in electromagnetism>",magnitud integral (en electromagnetismo),"grandeur intégrale, <en électromagnétisme> f",grandezza integrale (in elettromagnetismo),"積分量, <電磁気>","적분량, <전자기학>",integral storleik,"wielkość całkowa, <w elektromagnetyzmie> f","grandeza integral, <em electromagnetismo>",integralstorhet,"积分量, <电磁学>"
131-11-02,circuit theory,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-11-02,نظرية الدارة,"Netzwerktheorie, f",circuit theorynetwork theory,teoría de circuitosteoría de redes,"théorie des circuits, fthéorie des réseaux, f",teoria dei circuiti,回路理論回路網理論,회로 이론망 이론,krinsteori,teoria obwodów,teoria de circuitosteoria de redes,kretsteori,电路理论网络理论
131-11-03,circuit element,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-11-03,عنصر دارة,"Netzwerkelement, n",circuit element,elemento de circuito,"élément de circuit, m",elemento del circuito,回路素子,회로 소자,krinselement,element obwodu,elemento de circuito,kretselement,路元件
131-11-04,electric circuit element,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-11-04,عنصر دارة كهربائية,"elektrisches Netzwerkelement, n",electric circuit element,elemento de circuito eléctrico,"élément de circuit électrique, m",elemento del circuito elettrico,電気回路素子,전기 회로 소자,elektrisk krinselement,element obwodu elektrycznego,elemento de circuito elétrico,elektriskt kretselement,电路元件
131-11-05,magnetic circuit element,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-11-05,عنصر دارة مغناطيسية,"magnetisches Netzwerkelement, n",magnetic circuit element,elemento de circuito magnético,"élément de circuit magnétique, m",elemento del circuito magnetico,磁気回路素子,자기 회로 소자,magnetisk krinselement,element obwodu magnetycznego,elemento de circuito magnético,magnetiskt kretselement,磁路元件
131-11-06,"circuit, <in electromagnetism>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-11-06,"دائرة, <في الكهرومغناطيسية>","Schaltkreis, <auf dem Gebiet des Elektromagnetismus> m","circuit, <in electromagnetism>",circuito,"circuit, <en électromagnétisme> m",circuito,"回路, <電磁気>","회로, <전자기학>",krins,"obwód, <w elektromagnetyzmie> m",circuito,krets,"路, <电磁学>"
131-11-07,"electric circuit, <in network topology>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-11-07,"دائرة كهربائية, <في طبوغرافية الشيكة>","elektrisches Netzwerk, <in der Netzwerktopologie> n","electric circuit, <in network topology>",circuito eléctricored eléctrica,"circuit électrique, <en topologie des réseaux> m",circuito elettrico,"電気回路, <回路網トポロジ>","전기 회로, <네트워크 위상학>",elektrisk krins,"obwód elektryczny, <w topologii sieci> m",circuito elétricorede elétrica,elektrisk kretsströmkrets,"电路, <网络拓扑>"
131-11-08,magnetic circuit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-11-08,دارة مغناطيسية,"magnetisches Netzwerk, n",magnetic circuit,circuito magnético,"circuit magnétique, m",circuito magnetico,磁気回路,자기 회로,magnetisk krins,obwód magnetyczny,circuito magnético,magnetisk krets,磁路
131-11-09,"lumped, adj",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-11-09,متراكم,"konzentriert, Adjektiv","lumped, adj",concentradode parámetros concentrados,"localisé, adj",(elemento di circuito) a parametri concentrati,集中形集中,"집중, 형용사",konsentrert,skupionyo parametrach skupionych,concentrado,koncentrerad,集总的
131-11-10,"distributed, adj",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-11-10,موزع,"verteilt, Adjektiv","distributed, adj",de parámetros distribuidosdistribuido,"à paramètres répartis, qualificatifréparti, adj",(elemento di circuito) a parametri distribuiti,分布する形分布する,"분산된, 형용사",distribuert,rozłożonyo parametrach rozłożonych,de parâmetros distribuídos,utbredd,分布的
131-11-11,terminal,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-11-11,نهاية طرفية,"Pol, mAnschlusspunkt, mAnschluss, m",terminal,borneterminal,"borne, f",polomorsetto,端子,단자,"uttak, klemme",końcówka,terminal,pol,端子
131-11-12,"n-terminal, adj",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-11-12,متعدد الأطراف (n),"mehrpolig, Adjektivn-polig, Adjektiv","n-terminal, adj",de n terminalesmultipolo,"multipôle, adj",multipolo,"n端子の, 形容詞","n 단자, 형용사",fleirpola,wielokońcówkowyn-końcówkowy,multipolar,n-polig,n端的
131-11-13,n-terminal circuit element,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-11-13,عنصر دارة متعددة الأطراف (n),"mehrpoliges Netzwerkelement, nn-poliges Netzwerkelement, n",n-terminal circuit element,elemento de circuito de n terminaleselemento multipolo,"multipôle élémentaire, m",elemento  multipolare di un circuito,n端子回路素子,n 단자 회로 소자,fleirpola krinselement,element wielokońcówkowyelement n-końcówkowy,multipolo elementar,n-poligt kretselement,n端电路元件
131-11-14,n-terminal circuit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-11-14,دارة متعددة الأطراف (n),"Mehrpol, mmehrpoliges elektrisches Netzwerk, nn-poliges elektrisches Netzwerk, n",n-terminal circuit,circuito de n terminalescircuito multipolo,"multipôle (1), m",circuito multipolare,n端子回路,n 단자 회로,fleirpola krins,obwód wielokońcówkowyobwód n-końcówkowy,multipolo (1),n-pol,n端电路
131-11-15,two-terminal circuit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-11-15,دارة ثنائية الطرف,"Zweipol, mzweipoliges elektrisches Netzwerk, n",two-terminal circuit,circuito bipolocircuito de dos terminales,"bipôle (1), mdipôle (déconseillé dans ce sens), m",circuito bipolare,２端子回路,2 단자 회로,topola krins,dwójnik,bipolo (1),tvåpol,二端电路
131-11-16,two-terminal element,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-11-16,عنصر ثنائي الطرف,"zweipoliges Netzwerkelement, n",two-terminal element,elemento bipoloelemento de circuito de dos terminales,"bipôle élémentaire, m",elemento bipolare (di un circuito),２端子素子,2 단자 소자,topola krinselement,dwójnik elementarny,bipolo elementar,tvåpoligt kretselement,二端元件
131-11-17,"time-independent, adj",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-11-17,غير مرتبطة بالزمن,"zeitunabhängig, Adjektiv","time-independent, adj",independiente del tiempo,"indépendant du temps, qualificatif",tempo invariante,時間独立の時間独立,"시간 독립, 형용사",tidsuavhengig,niezależny od czasu,independente do tempo,tidoberoende,非时变的
131-11-18,"linear, adj",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-11-18,خطي,"linear, Adjektiv","linear, adj",lineal,"linéaire, adj",lineare,線形の線形,선형,lineær,liniowy,linear,linjär,线性的
131-11-19,"non-linear, adj",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-11-19,غير خطي,"nichtlinear, Adjektiv","non-linear, adj",no lineal,"non linéaire, qualificatif",non lineare,非線形の非線形,"비선형, 형용사",ikkje-lineær,nieliniowy,não-linear,icke-linjär,非线性的
