id,english,arabic,french,uri,description,vt,uatv
141330,Aufbeau principle,مبدأ البناء، مبدأ أوفباو,principe d'Aufbau,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=141330,"ينص على أنه عند تعيين التركيب الالكتروني للحالة الدنيا لذرة ما, يمكننا أن نتخيل كما لو كانت الالكترونات جميعها قد نزعت عن النواة ثم صارت تعاد واحد تلو الآخر حسب المدارات المتاحة، حيث تملأ مدارات الطاقة الدنا أولا",True,True
141350,Avogadro's constant,ثابت أفوغادرو,constant d'Avogadro,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=141350,رقم يدل على عدد الجزيئات في جرام جزيء من أي مادة,True,True
141351,Avogadro's hypothesis,فرضية أفوغادرو,hypothèse d'Avogadro,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=141351,,True,True
141352,Avogadro's number,عدد أفوغادرو,nombre d'Avogadro,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=141352,,True,True
141419,Baumé degree,درجة بوميه,degré de Baumé,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=141419,,True,True
141420,Baumé scale,مقياس بوميه,aéromètre de Baume,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=141420,مقياس مدّرج بطريقة خاصة للدلالة على كثافة سائل,True,True
141429,Beckmann apparatus,جهاز بكمان,appareil de Beckmann,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=141429,لقياس درجات التجمد والغليان في السوائل,True,True
141430,Beckmann thermometer,مقياس حرارة بكمان، ترمومتر بكمان,thermomètre de Beckmann,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=141430,ميزان حرارة زئبقي شديد الحساسية,True,True
141431,Becquerel,بيركيل,Becquerel,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=141431,,True,True
141432,Becquerel rays,أشعة بيركيل,rayons de Becquerel,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=141432,,True,True
141450,Bessemer process; Bessemer converter,عملية بسمر,convertisseur de Bessemer,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=141450,,True,True
141488,Biuret reaction,تفاعل بيورت,réaction de Biuret,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=141488,,True,True
141511,Bohr model (of the atom),نموذج بور,modèle Bohr (de l'atome),http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=141511,للذرة,True,True
141512,Bohr radius,نصف قطر<بور>,radius de Bohr,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=141512,,True,True
141609,Boltzmann factor,عامل بولتزمان، معامل بولتزمان,facteur de Boltzmann,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=141609,الذي يستخدم للحصول على نسبة الجزيئات المنشطة,True,True
141557,Bordeau mixture,مزيج بوردو، مخلوط بوردو,mélange de Bordeau,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=141557,مخلوط يحتوي على مركبات النحاس ويستخدم لابادة الميكروبات والفطريات,True,True
141563,Boyle's law,قانون بويل,loi de Boyle,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=141563,,True,True
