term_id,term,term_url,ar,de,en,es,fi,fr,it,ja,ko,no,pl,pt,ru,sl,sr,sv,zh
151-11-01,electricity (1),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=151-11-01,كهرباء (1),"Elektrizität, f",electricity (1),electricidad (1),sähkö,"électricité (1), f",elettricità,電気 (1),"전기, <관련엔트리: 151-11-02>",elektrisitet,elektryczność,electricidade (1),электричество (1),,"електрицитет, м јд",elektricitet,电
151-11-02,electricity (2),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=151-11-02,كهرباء (2),"Elektrizitätslehre, f",electricity (2),electricidad (2),sähkö,"électricité (2), f",elettrologia,電気 (2),전기학<관련엔트리: 151-11-01>,elektrisitet,elektryka,electricidade (2),электричество (2),,"електротехника, ж јд",elektricitet,电学
151-11-03,"electric, adj",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=151-11-03,كهربائي,"elektrisch, Adjektiv","electric, adj","eléctrico (1), adj.",sähkö-sähköinen,"électrique, adj",elettricoelettro (nelle parole composte),"電気の, 形容詞","전기, 형용사",elektrisk; el-,elektryczny (1),eléctrico,электрический (1),,"електрични, придев",el-elektrisk,电的
151-11-04,"electrical (1), adj",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=151-11-04,كهربائي (1),"Elektro... (1), in Zusammensetzungen","electrical (1), adj","electricistaeléctrico (2), adj.",sähkö-,"électricien, adj",elettrico,"電気の (1), 形容詞","전기, <관련엔트리: 151-11-05>, 형용사",elektro-,elektryk,electricista,электрик,,"електро, <електро: IEV 151-11-05> префикс",elektro-,"电气的, <相关条目：151-11-05>"
151-11-05,"electrical (2), adj",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=151-11-05,كهربائي  (2),Elektro... (2) in Zusammensetzungen,"electrical (2), adj","de electricidad, calificativo",sähkö-,"d’électricité,  qualificatif",di elettricità,"電気の (2), 形容詞","전기, 형용사<관련엔트리: 151-11-04>",elektro-,elektryczny (2),de electricidade (qualificativo),электрический (2),,"електро, <електро: IEV 151-11-04> префикс",el-elektro-,"电气的, <相关条目：151-11-04>"
151-11-06,magnetism,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=151-11-06,مغناطيسية,"Magnetismus, m",magnetism,magnetismo,magnetismi,"magnétisme, m",magnetismo,磁気,자기,magnetisme,magnetyzm,magnetismo,магнетизм,,"магнетизам, м јд",magnetism,磁
151-11-07,"magnetic, adj",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=151-11-07,مغناطيسي,"magnetisch, Adjektiv","magnetic, adj","magnético, adj.",magneetti-magneettinen,"magnétique, adj",magnetico,"磁気の, 形容詞","자기, 형용사자기적",magnetisk,magnetyczny,magnético,магнитный,,"магнетски, придев",magnetisk,磁的
151-11-08,electromagnetism,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=151-11-08,كهرومغناطيسية,"Elektromagnetismus, m",electromagnetism,electromagnetismo,sähkömagnetismi,"électromagnétisme, m",elettromagnetismo,電磁気学,전자기전자기학,elektromagnetisme,elektromagnetyzm,electromagnetismo,электромагнетизм,,"електромагнетизам, м јд",elektromagnetism,电磁
151-11-09,"electromagnetic, adj",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=151-11-09,كهرومغناطيسي,"elektromagnetisch, Adjektiv","electromagnetic, adj","electromagnético, adj.",sähkömagneettinen,"électromagnétique, adj",elettromagnetico,"電磁の, 形容詞","전자기, 형용사전자기적, 형용사",elektromagnetisk,elektromagnetyczny,electromagnético,электромагнитный,,"електромагнетски, придев",elektromagnetisk,电磁的
151-11-10,"electromechanical, adj",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=151-11-10,كهروميكانيكى,"elektromechanisch, Adjektiv","electromechanical, adj","electromecánico, adj.",sähkömekaaninen,"électromécanique, adj",elettromeccanico,"電気機械の, 形容詞","전기기계, 형용사전기기계적, 형용사",elektromekanisk,elektromechaniczny,electromecânico,электромеханический,,"електромеханички, придев",elektromekanisk,机电的
151-11-11,electrical engineering,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=151-11-11,هندسة كهربائية,"Elektrotechnik, f",electrical engineeringelectrotechnology,electrotecnia,sähkötekniikka,"électrotechnique, f",elettrotecnica,電気工学,전기공학,elektroteknikk,elektrotechnika,electrotécnica,электротехника,,"електротехника, ж јд",elektroteknik,电气工程电气技术
151-11-12,"electrotechnical, adj",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=151-11-12,كهروتقني,"elektrotechnisch, Adjektiv","electrotechnical, adj","electrotécnico, adj.",sähkötekninen,"électrotechnique, adj",elettrotecnico,"電気工学的, 形容詞","전기기술, 형용사전기기술적",elektroteknisk,elektrotechniczny,electrotécnico,электротехнический,,"електротехнички, придев",elektroteknisk,电气技术的
151-11-13,"electronics, noun",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=151-11-13,إلكترونيات,"Elektronik, f","electronics, noun","electrónica, nombre",elektroniikka,"électronique, f",elettronica,電子工学,"전자공학, 명사전자, 명사",elektronikk,elektronika,electrónica,электроника,,"електроника, ж јд",elektronik,电子学
151-11-14,"electronic, adj",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=151-11-14,إلكتروني,"elektronisch, Adjektiv","electronic, adj","electrónico, adj.",elektroninen,"électronique, adj",elettronico,"電子式, 形容詞","전자, 형용사전자적, 형용사",elektronisk,elektroniczny elektronowy,electrónico,электронный,,"електронски, придев",elektronisk,电子的
151-11-15,power electronics,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=151-11-15,الكترونيات القدرة,"Leistungselektronik, f",power electronics,electrónica de potencia,tehoelektroniikka,"électronique de puissance, f",elettronica di potenza,パワーエレクトロニクス,전력전자전력전자공학,kraftelektronikk,energoelektronika,electrónica de potência,силовая электроника,,"енергетска електроника, ж јд",kraftelektronik,电力电子技术电力电子学
151-11-16,electrochemistry,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=151-11-16,كهروكيميائى,"Elektrochemie, f",electrochemistry,electroquímica,sähkökemia,"électrochimie, f",elettrochimica,電気化学,전기화학,elektrokjemi,elektrochemia,electroquímica,электрохимия,,"електрохемија, ж јд",elektrokemi,电化学
151-11-17,electrobiology,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=151-11-17,كهروحيوى,"Elektrobiologie, f",electrobiology,electrobiología,sähköbiologia,"électrobiologie, f",elettrobiologia,電気生物学,전기생물학,elektrobiologi,bioelektryka elektrobiologia,electrobiologia,электробиология,,"електробиологија, ж јд",elektrobiologi,电生物学生物电学
151-11-18,electroheat,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=151-11-18,كهروحرارى,"Elektrowärme, f",electroheat,electrotermia,sähkölämpö,"électrothermie, f",elettrotermia,電熱学,전열학,elektrotermikk; elektrovarme,elektrotermia grzejnictwo elektryczne,electrotermia,электротермия,,"електротермија, ж јд",elvärmelära,电热学电热
151-11-19,"electrothermal, adj",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=151-11-19,كهروحرارى (صفة),"elektrothermisch, Adjektiv","electrothermal, adj","electrotérmico, adj.",sähköterminen,"électrothermique, adj",elettrotermico,"電熱の, 形容詞","전열, 형용사전열의, 형용사",elektrotermisk,elektrotermiczny,electrotérmico,электротермический,,"електротермички, придев",elektrotermisk,电热的
151-11-20,device,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=151-11-20,جهاز,"Einrichtung, fGerät, n",device,dispositivo,laitekoje,"dispositif, m",dispositivo; apparecchio,デバイス,장치,eining,urządzenie (1) przyrząd (1),dispositivo,устройство,,"уређај, м јд",don,"器件装置, <相关条目：151-11-26>"
151-11-21,component,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=151-11-21,مكوّن,"Bauelement, n",component,componente,komponentti,"composant, m",componente,構成部分,구성 부품,komponent,część składowa podzespół,componente,компонент,,"компонента, ж јд",komponent,元件元器件
151-11-22,apparatus,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=151-11-22,عدة -جهاز,"Apparat, mGerät, n",apparatus,aparato,laite,"appareil, m",apparecchio; apparecchiatura,機器装置,기기,apparat,aparat przyrząd (2),aparelho,аппарат,,"апаратура, ж јд",apparat,电器
151-11-23,appliance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=151-11-23,جهاز كهربائي منزلي,"Haushaltsgerät, n",appliance,electrodoméstico,kotitalouslaite,"appareil domestique, mappareil d'utilisation, m",apparecchio domestico,器具,전기기계기구,hushaldningsapparat,urządzenie elektryczne domowe przyrząd użytku domowego,aparelho doméstico(aparelho) electrodoméstico,бытовой электроприбор,,"апарат, м јд",hushållsapparat,家用电器
151-11-24,accessory,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=151-11-24,ملحق,"Zubehör, n",accessory,accesorio,tarvike,"accessoire, m",accessorio,付属品,부속품,tilleggsutstyr,akcesoria wyposażenie dodatkowe,acessório,принадлежностьаксессуар,,"прибор, м јд",tillbehör,附件
151-11-25,equipment,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=151-11-25,معدة,"Ausrüstung, fBetriebsmittel, n",equipment,equipo,laitelaitteisto,"équipement, mmatériel, m",apparecchiatura; apparecchio; equipaggiamento,装置,장비설비,utstyr,wyposażenie urządzenie (2) sprzęt,equipamento,оборудование,,"опрема, ж јд",utrustning,设备
151-11-26,installation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=151-11-26,تركيب,"Anlage, f",installation,instalación,asennusasennettu järjestelmä,"installation, f","installazione, impianto",据付装置,설비,installasjon,instalacja,instalação,установка,,"инсталација, ж јд",installation,"设施装置, <相关条目：151-11-20>"
151-11-27,system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=151-11-27,نظام,"System, n",system,sistema,järjestelmä,"système, m",sistema,システム系,계통시스템,system,system układ,sistema,система,,"систем, м јд",system,系统
151-11-28,operation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=151-11-28,تشغيل,"Betrieb, m",operation,explotaciónoperación,käyttö,"exploitation, f",operazione; manovra,運転,작동운전,drift,eksploatacja,exploraçãooperação,эксплуатация,,"операција, ж јд",drift,运行操作
151-11-29,permanently connected equipment,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=151-11-29,,"Gerät mit Festanschluss, n",permanently connected equipment,equipo permanentemente conectado,,"équipement relié en permanence, m",,恒久接続形機器,영구 접속 설비,permanent tilkopla utstyr,"urządzenie podłączone na stałe, n pl",equipamento permanentemente conectado,,,"трајно повезана опрема, ж јд",,永久性连接设备
151-12-01,electric circuit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=151-12-01,دائرة كهربائية,"Stromkreis, melektrische Schaltung, fSchaltung, f",electric circuit,circuito eléctrico,virtapiiri,"circuit électrique, m",circuito elettrico,電気回路,전기회로,elektrisk krins,"obwód elektryczny, m",circuito eléctrico,электрическая цепь,,"електрично коло, с јд",elektrisk krets,电路
151-12-02,electric network,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=151-12-02,شبكة كهربائية,"elektrisches Netzwerk, nelektrisches Netz, n",electric network,red eléctrica,sähköverkko,"réseau électrique, m",rete elettrica,電気回路網,전기회로망,elektrisk nett,"sieć elektryczna, f",rede eléctrica,электрическая сеть,,"електрична мрежа, ж јд",elektriskt nät,电网络
151-12-03,electric contact,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=151-12-03,تماس  كهربائي,"elektrischer Kontakt, m",electric contact,contacto eléctrico,sähköinen kosketus,"contact électrique, m",contatto elettrico,電気接点,전기 접점,elektrisk kontakt,kontakt elektryczny,contacto eléctrico,электрический контакт,,"електрични контакт, м јд",elektrisk kontakt,电接触
151-12-04,short-circuit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=151-12-04,دارة قصر,"Kurzschluss, m",short-circuit,cortocircuito,oikosulku,"court-circuit, m",cortocircuito,短絡,단락,kortslutning,zwarcie,curtocircuito,короткое замыкание,,"кратак спој, м јд",kortslutning,短路
151-12-05,conductor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=151-12-05,موصل - ناقل,"Leiter, m",conductor,conductor,johdin,"conducteur, m",conduttore,導体,도체,leiar,przewód element przewodzący,condutor,проводник,,"проводник, м јд",ledare,导体
