id,english,arabic,french,uri,description,image_uri_remote,vt,uatv
206800,Factorial analysis,تحليل عاملي,analyse factorielle,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206800,,,True,True
206911,I(the) - (ego),أنا (ال…) الشخصي,le moi,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206911,,,True,True
206418,a posteriori,بعدي,a posteriori,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206418,,,True,True
206421,a priori,قبلي,a priori,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206421,,,True,True
206422,a priori forms of sensibility,الصور القبلية الحساسية,formes a priori de la sensibilité,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206422,,,True,True
206352,ability,مهارة,habileté,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206352,,,True,True
206353,abnegation,انكار الذات,abnégation,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206353,,,True,True
206354,abnormal,غير سوي,anormal,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206354,,,True,True
206355,absolute,مطلق,absolu,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206355,,,True,True
206356,absolute threshold,عتبة مطلقة,seuil absolu,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206356,,,True,True
206357,absolutism,اطلاقية,absolutisme,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206357,,,True,True
206358,absorption,استغراق,absorption,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206358,,,True,True
206359,abstract,مجرّد,abstrait,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206359,,,True,True
206360,abstraction,تجريد,abstraction,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206360,,,True,True
206361,absurd,عبث، خلف,absurde,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206361,,,True,True
206362,accident,عرض,accident,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206362,,,True,True
206363,accord,اتفاق,accord,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206363,,,True,True
206364,acculturation,تثقيف,acculturation,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206364,,,True,True
206365,acquired,مكتسب,acquis,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206365,,,True,True
206366,acquisition,اكتساب,acquisition,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206366,,,True,True
