id,english,arabic,french,uri,description,vt,uatv
167648,Bartholin's gland,غدة بارتولين,glande de Bartholin,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=167648,توجد في الغشاء المخاطي للشفرين,True,True
167870,Bowman's capsule,محفظة بومان,capsule de Bowman,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=167870,بداية الأنبوب البولي الشبيهة بالكرة المنبعجة -مزدوجة الجدار- تضم في داخلها  مجموعة الأوعية  الدموية الشعرية الدقيقة المعروفة بالكلومريولس,True,True
167942,Brunner's gland,غدة برونر,glande de Brunner,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=167942,الغدة الفارزة في المعي الاثنى عشرة,True,True
168807,Darwin,دارووين,Darwin,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=168807,,True,True
168808,Darwinism,دارووينية,Darwinisme,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=168808,نظرية من نظريات التطور  العضوي التي تستند إلى ظاهرة الانتخاب الطبيعي للأحياء,True,True
168897,De Vries,دي فريز,De Vries,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=168897,عالم نبات هولندي اشتهر بعمله في موضوع الطفرات الوراثية,True,True
168997,Donnan equilibrium,اتزان دونان,équilibre de Donnan,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=168997,,True,True
169894,Golgi body,جسيم كولجي,corpuscule de Golgi,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=169894,من التراكيب الدقيقة في سايتوبلازم الخلية,True,True
170637,Lamarck,لامارك,Lamarck (j.b.) 1744-1829,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=170637,عالم فرنسي صاحب نظرية اللاماركية   التي تؤكد انتقال الصفات المكتسبة ورثيا.كما أكد أثر استعمال العضو أو عدم استعماله  في تحوره وهو أساس التطور العضوي بالنسبة إلى هذه النظرية,True,True
170638,Lamarckism,لاماركية,Lamarckisme,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=170638,نظرية لامارك في التطور,True,True
170900,Malpighian cell,خلية ملبيجي,cellule de Malpighi,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=170900,,True,True
170901,Malpighian corpuscule,كرية ملبيجي,cropuscule de Malpighi,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=170901,مقدمة الأنبوب البولي في كلي(جمع كلية) الفقريات الراقية التي تتألف من كيس  بومان ومجموعة الأوعية الموية المعروفة بالكلوميرولس,True,True
171012,Mendel,مندل,Mendel,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=171012,عالم نباتي وراهب نمساوي أول من وضع أسس علم الوراثة الحديث,True,True
171575,Pasteur's liquid,سائل بستير,liquide de Pasteur,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=171575,,True,True
