term_id,term,term_url,ar,de,en,es,fi,fr,it,ja,ko,pl,pt,sr,sv,zh
521-01-01,non-quantized system (of particles),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-01-01,نظام غير كمى (للجسيمات),"nichtquantisiertes System, <von Teilchen> n",non-quantized system (of particles),sistema no cuantificado (de partículas),kvantittumaton järjestelmä,"système non quantifié (de particules), m",sistema non quantizzato,"非量子化系, <粒子の>","비양자화계, <입자>",układ niekwantowany (cząstek),sistema não quantificado (de partículas),"неквантни систем, <честица> м јд",okvantiserat system,"非量子化系统, <粒子的>"
521-01-02,quantized system (of particles),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-01-02,نظام كمى (للجسيمات),"quantisiertes System, <von Teilchen> n",quantized system (of particles),sistema cuantificado (de partículas),kvantittunut järjestelmä,"système quantifié (de particules), m",sistema quantificato,"量子化系, <粒子の>","양자화 계통, <입자>",układ kwantowany (cząstek),sistema quantificado (de partículas),"квантни систем, <честица> м јд",kvantiserat system,"量子化系统, <粒子的>"
521-01-03,Maxwell-Boltzmann statistics,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-01-03,احصائيات ماكسويل -بولتزمان,"Maxwell-Boltzmann-Statistik, f",Maxwell-Boltzmann statistics,estadística de Maxwell-Boltzmann,Maxwellin-Boltzmannin jakauma,"statistique de Maxwell-Boltzmann, f",Statistiche di Maxwell-Boltzmann,マックスウェル–ボルツマン統計,맥스웰 볼츠만 통계,rozkład Maxwella-Boltzmanna,estatística de Maxwell-Boltzmann,"Максвел–Болцманова статистика, ж јд",Maxwell-Boltzmann-fördelning,麦克斯韦-玻尔兹曼统计
521-01-04,Boltzmann relation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-01-04,علاقة بولتزمان,"Boltzmann-Beziehung, f",Boltzmann relation,relación de Boltzmann,Boltzmannin yhtälö,"relation de Boltzmann, f",relazione di Maxwell-Boltzmann,ボルツマン関係,볼츠만 관계,zależność Boltzmanna,relação de Boltzmann,"Болцманова једначина, ж јд",Boltzmanns ekvation,玻尔兹曼关系
521-01-05,Maxwell-Boltzmann velocity-distribution law,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-01-05,قانون توزيع السرعات لماكسويل -بولتزمان,"Maxwell-Boltzmann-Geschwindigkeitsverteilung, f",Maxwell-Boltzmann velocity-distribution law,ley de distribución de las velocidades de Maxwell-Boltzmann,Maxwellin-Boltzmannin nopeusjakauma,"loi de distribution des vitesses de Maxwell-Boltzmann, f",legge di distribuzione delle velocità di Maxwell-Boltzmann,マックスウェル–ボルツマン速度分布則,맥스웰 볼츠만 속도 분포의 법칙,prawo rozkładu prędkości Maxwella-Boltzmanna,lei de distribuição das velocidades de Maxwell-Boltzmann,"Максвел–Болцманов закон расподеле брзина, м јд",Maxwell-Boltzmanns hastighetsfördelning,麦克斯韦-玻尔兹曼速度分布律
521-01-06,Bohr atom,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-01-06,ذرة بوهر,"Bohr-Atommodell, n",Bohr atom,átomo de Bohr,Bohrin atomimalli,"atome de Bohr, m",atomo di Bohr,ボーア原子,보어 원자,atom Bohra,átomo de Bohr,"Боров атом, м јд",Bohrs atommodell,玻尔原子
521-01-07,quantum number (of an electron in a given atom),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-01-07,عدد كمي (لألكترون فى الذرة المعطاة),"Quantenzahl, <eines Elektrons in einem gegebenen Atom> f",quantum number (of an electron in a given atom),número cuántico (de un electrón de un átomo dado),kvanttiluku,"nombre quantique (d'un électron dans un atome donné), m",numero quantico,"量子数, <与えられた原子内の電子の>","양자수, <주어진 원자의 전자>",liczba kwantowa (elektronu w danym atomie),número quântico (de um electrão num átomo dado),"квантни број, <једног електрона у датом атому> м јд",kvanttal,"量子数, <给定原子中电子的>"
521-01-08,principal quantum number,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-01-08,عدد  كمى أساسي,"Hauptquantenzahl, f",principal quantum numberfirst quantum number,número cuántico principal,pääkvanttiluku,"nombre quantique principal, m",numero quantico principale,主量子数第１量子数,주양자수,liczba kwantowa główna liczba kwantowa pierwsza,número quântico principal,"главни квантни број, м јд",huvudkvanttal,主量子数
521-01-09,orbital quantum number,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-01-09,عدد كَمّي مداري,"Bahndrehimpulsquantenzahl, f",orbital quantum numbersecond quantum number,número cuántico secundario,sivukvanttiluku,"nombre quantique secondaire, mnombre quantique orbital, m",numero quantico secondario,第２量子数軌道量子数,궤도 양자수,liczba kwantowa orbitalna liczba kwantowa druga,número quântico orbitalnúmero quântico secundário,"орбитални квантни број, м јдспоредни квантни број, м јдазимутални квантни број, м јд",bikvanttal,轨道量子数
521-01-10,spin (quantum number),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-01-10,عدد كمي مغزلي,"Spinquantenzahl, fSpin, m",spin (quantum number),espin,spinspinkvanttiluku,"(nombre quantique de) spin, m",spin (numero quantico),スピン量子数スピン,회전 양자수,liczba spinowa spin,(número quântico de) spin,"спин, <квантни број> м јд",spinnkvanttal,自旋量子数自旋
